0,0
0,6
1,0
1,1
2,1
2,2
2,7
3,2
3,3
4,3
4,4
4,8
5,4
5,5
6,5
6,9
7,10
7,18
8,10
8,11
9,11
9,12
9,19
10,7
10,12
10,13
11,13
11,14
11,20
12,8
12,14
12,15
13,15
13,16
13,21
14,9
14,16
14,17
15,17
15,22
16,23
16,33
17,18
17,23
17,24
18,24
18,25
18,34
19,19
19,25
19,26
20,26
20,27
20,35
21,20
21,27
21,28
22,28
22,29
22,36
23,21
23,29
23,30
24,30
24,31
24,37
25,22
25,31
25,32
26,32
26,38
27,33
27,39
28,39
28,40
28,49
29,34
29,40
29,41
30,41
30,42
30,50
31,35
31,42
31,43
32,43
32,44
32,51
33,36
33,44
33,45
34,45
34,46
34,52
35,37
35,46
35,47
36,47
36,48
36,53
37,38
37,48
38,49
38,54
39,54
39,55
39,62
40,50
40,55
40,56
41,56
41,57
41,63
42,51
42,57
42,58
43,58
43,59
43,64
44,52
44,59
44,60
45,60
45,61
45,65
46,53
46,61
47,62
47,66
48,66
48,67
49,63
49,67
49,68
50,68
50,69
51,64
51,69
51,70
52,70
52,71
53,65
53,71
