0,0
0,1
0,2
0,10
0,9
0,8
1,2
1,3
1,4
1,12
1,11
1,10
2,4
2,5
2,6
2,14
2,13
2,12
3,7
3,8
3,9
3,19
3,18
3,17
4,9
4,10
4,11
4,21
4,20
4,19
5,11
5,12
5,13
5,23
5,22
5,21
6,13
6,14
6,15
6,25
6,24
6,23
7,16
7,17
7,18
7,29
7,28
7,27
8,18
8,19
8,20
8,31
8,30
8,29
9,20
9,21
9,22
9,33
9,32
9,31
10,22
10,23
10,24
10,35
10,34
10,33
11,24
11,25
11,26
11,37
11,36
11,35
12,28
12,29
12,30
12,40
12,39
12,38
13,30
13,31
13,32
13,42
13,41
13,40
14,32
14,33
14,34
14,44
14,43
14,42
15,34
15,35
15,36
15,46
15,45
15,44
16,39
16,40
16,41
16,49
16,48
16,47
17,41
17,42
17,43
17,51
17,50
17,49
18,43
18,44
18,45
18,53
18,52
18,51
